year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2022-23,2022,Ch.IV  Endocrine & metabolic,463467.0,341720.0,161118.0,89445.0,88868.0,230191.0,233200.0,0.4715
2022-23,2022,Ch.IX  Circulatory system,1508036.0,922621.0,595461.0,252019.0,42220.0,869084.0,638795.0,0.6454
2022-23,2022,Ch.V  Mental & behavioural,245526.0,135563.0,114666.0,8659.0,7780.0,125119.0,119470.0,0.8459
2022-23,2022,Ch.VI  Nervous system,449516.0,361831.0,122300.0,138913.0,97061.0,201484.0,247962.0,0.338
2022-23,2022,Ch.VII/VIII  Eye & Ear,1015114.0,997822.0,63479.0,747190.0,186376.0,447090.0,567917.0,0.0636
2022-23,2022,Ch.X  Respiratory system,1575825.0,960776.0,802756.0,121586.0,30055.0,773871.0,801803.0,0.8355
2022-23,2022,Ch.XI  Digestive system,2577457.0,2214987.0,565132.0,1374585.0,270628.0,1273618.0,1303505.0,0.2551
2022-23,2022,Ch.XII  Skin,440721.0,356345.0,186931.0,145245.0,22613.0,229670.0,211001.0,0.5246
2022-23,2022,Ch.XIII  Musculoskeletal,1203846.0,1093323.0,281562.0,662673.0,144532.0,490499.0,713227.0,0.2575
2022-23,2022,Ch.XIV  Genitourinary,1066367.0,838450.0,383477.0,387369.0,62279.0,485761.0,580504.0,0.4574
2022-23,2022,Ch.XIX  Injury & poisoning,21238388.0,17317992.0,6758933.0,6328692.0,2431002.0,9653690.0,11565620.0,0.3903
2022-23,2022,Ch.XV  Pregnancy & childbirth,1240579.0,1199569.0,137330.0,63202.0,19457.0,40.0,1240478.0,0.1145
2022-23,2022,Ch.XVI  Perinatal,270009.0,230500.0,49914.0,3148.0,2447.0,146420.0,119995.0,0.2165
2022-23,2022,Ch.XVII  Congenital,102001.0,90794.0,10171.0,56897.0,12892.0,59050.0,42625.0,0.112
2022-23,2022,Ch.XVIII  Symptoms & signs,2088529.0,1727716.0,1159635.0,437562.0,85099.0,946982.0,1138859.0,0.6712
2022-23,2022,Ch.XXI  Health status factors,878354.0,853218.0,50513.0,204031.0,118586.0,386914.0,482351.0,0.0592
2022-23,2022,Other,200354.0,104145.0,89242.0,7905.0,3718.0,100093.0,100246.0,0.8569
