year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2009-10,2009,Ch.XI  Digestive system,1953859.0,1675251.0,489209.0,1017477.0,0.0,955848.0,0.0,0.292
2009-10,2009,Ch.XII  Skin,347828.0,300831.0,130444.0,149712.0,0.0,176720.0,0.0,0.4336
2009-10,2009,Ch.XIII  Musculoskeletal,1189567.0,1126010.0,212472.0,740181.0,0.0,505383.0,0.0,0.1887
2009-10,2009,Ch.XIV  Genitourinary,1073963.0,916946.0,295522.0,515316.0,0.0,427183.0,0.0,0.3223
2009-10,2009,Ch.XIX  Injury & poisoning,17947496.0,15509846.0,5976991.0,5462557.0,0.0,7982307.0,0.0,0.3854
2009-10,2009,Ch.XV  Pregnancy & childbirth,1387266.0,1351898.0,154568.0,89053.0,0.0,29.0,0.0,0.1143
2009-10,2009,Ch.XVI  Perinatal,248986.0,208239.0,37348.0,2042.0,0.0,136563.0,0.0,0.1794
2009-10,2009,Ch.XVII  Congenital,129140.0,116489.0,11024.0,60687.0,0.0,73725.0,0.0,0.0946
2009-10,2009,Ch.XVIII  Symptoms & signs,1954578.0,1665472.0,1160763.0,391870.0,0.0,921584.0,0.0,0.697
2009-10,2009,Ch.XXI  Health status factors,1179966.0,1149933.0,54779.0,231378.0,0.0,518061.0,0.0,0.0476
2010-11,2010,Ch.I  Infectious & parasitic,257129.0,201751.0,173850.0,15783.0,0.0,135774.0,0.0,0.8617
2010-11,2010,Ch.II  Neoplasms,2030498.0,1855179.0,216102.0,785183.0,0.0,983931.0,0.0,0.1165
2010-11,2010,Ch.IV  Endocrine & metabolic,289619.0,233035.0,100666.0,67091.0,0.0,143888.0,0.0,0.432
2010-11,2010,Ch.IX  Circulatory system,1371809.0,944114.0,486564.0,345471.0,0.0,767889.0,0.0,0.5154
2010-11,2010,Ch.V  Mental & behavioural,237942.0,178474.0,130633.0,13775.0,0.0,128772.0,0.0,0.7319
2010-11,2010,Ch.VI  Nervous system,385550.0,322725.0,123262.0,134152.0,0.0,178326.0,0.0,0.3819
2010-11,2010,Ch.VII/VIII  Eye & Ear,680804.0,673258.0,43909.0,566266.0,0.0,301570.0,0.0,0.0652
2010-11,2010,Ch.X  Respiratory system,1167197.0,799249.0,625077.0,135923.0,0.0,590963.0,0.0,0.7821
2010-11,2010,Ch.XI  Digestive system,2016862.0,1730780.0,503023.0,1041904.0,0.0,985122.0,0.0,0.2906
2010-11,2010,Ch.XII  Skin,351460.0,301351.0,134051.0,144742.0,0.0,178556.0,0.0,0.4448
2010-11,2010,Ch.XIII  Musculoskeletal,1228310.0,1163780.0,210064.0,760893.0,0.0,521525.0,0.0,0.1805
2010-11,2010,Ch.XIV  Genitourinary,1098252.0,926967.0,309898.0,511015.0,0.0,441529.0,0.0,0.3343
2010-11,2010,Ch.XIX  Injury & poisoning,18434286.0,15878771.0,6093253.0,5555441.0,0.0,8212888.0,0.0,0.3837
2010-11,2010,Ch.XV  Pregnancy & childbirth,1391755.0,1354242.0,147176.0,87851.0,0.0,17.0,0.0,0.1087
2010-11,2010,Ch.XVI  Perinatal,252313.0,211218.0,39331.0,2351.0,0.0,139695.0,0.0,0.1862
2010-11,2010,Ch.XVII  Congenital,123929.0,111050.0,10787.0,60483.0,0.0,70854.0,0.0,0.0971
2010-11,2010,Ch.XVIII  Symptoms & signs,1987674.0,1693526.0,1177644.0,395294.0,0.0,932749.0,0.0,0.6954
2010-11,2010,Ch.XXI  Health status factors,1234375.0,1202218.0,48774.0,239802.0,0.0,543322.0,0.0,0.0406
2011-12,2011,Ch.I  Infectious & parasitic,261356.0,201423.0,173791.0,16353.0,0.0,137764.0,0.0,0.8628
2011-12,2011,Ch.II  Neoplasms,2121849.0,1939697.0,215733.0,813912.0,0.0,1034577.0,0.0,0.1112
2011-12,2011,Ch.IV  Endocrine & metabolic,295428.0,235843.0,101464.0,65276.0,0.0,146478.0,0.0,0.4302
2011-12,2011,Ch.IX  Circulatory system,1381635.0,949588.0,491614.0,348825.0,0.0,779921.0,0.0,0.5177
2011-12,2011,Ch.V  Mental & behavioural,241853.0,180591.0,131980.0,13757.0,0.0,130730.0,0.0,0.7308
2011-12,2011,Ch.VI  Nervous system,390755.0,327598.0,122110.0,134606.0,0.0,180936.0,0.0,0.3727
2011-12,2011,Ch.VII/VIII  Eye & Ear,674374.0,666422.0,41277.0,561187.0,0.0,300101.0,0.0,0.0619
2011-12,2011,Ch.X  Respiratory system,1160282.0,782432.0,607101.0,136967.0,0.0,590727.0,0.0,0.7759
2011-12,2011,Ch.XI  Digestive system,2120480.0,1818083.0,514734.0,1107758.0,0.0,1036417.0,0.0,0.2831
2011-12,2011,Ch.XII  Skin,339515.0,288253.0,133729.0,131864.0,0.0,172494.0,0.0,0.4639
2011-12,2011,Ch.XIII  Musculoskeletal,1247888.0,1180870.0,201409.0,777133.0,0.0,526802.0,0.0,0.1706
2011-12,2011,Ch.XIV  Genitourinary,1092648.0,908601.0,319275.0,498194.0,0.0,442154.0,0.0,0.3514
2011-12,2011,Ch.XIX  Injury & poisoning,18648642.0,16017269.0,6047262.0,5675680.0,0.0,8348426.0,0.0,0.3775
